"MonitoringStation","SampleDate","SampleTime","Latitude","Longitude","TN","TP","TSS"
"CCM0069",2009-08-12,"11:45:00",38.44167,-75.90556,2.07,0.1614,23
"CCM0069",2009-05-13,"11:10:00",38.44167,-75.90556,2.078,0.1496,3.5
"CCM0069",2009-03-19,"09:38:00",38.44167,-75.90556,1.529,0.0626,14
"CCM0069",2009-01-13,"11:08:00",38.44167,-75.90556,2.248,0.0732,15.7
"CCM0069",2009-04-13,"12:00:00",38.44167,-75.90556,1.7,0.098,15.5
"CCM0069",2009-02-10,"09:50:00",38.44167,-75.90556,2.248,0.069,15.8
"CCM0069",2008-11-18,"09:30:00",38.44167,-75.90556,1.307,0.0878,12.3
"CCM0069",2008-10-21,"11:06:00",38.44167,-75.90556,1.08,0.0541,10.2
"CCM0069",2008-09-16,"10:02:00",38.44167,-75.90556,2.11,0.1445,40
"CCM0069",2008-08-14,"09:53:00",38.44167,-75.90556,2.29,0.1864,47
"CCM0069",2008-07-07,"15:15:00",38.44167,-75.90556,1.898,0.1814,20.7
"CCM0069",2008-06-09,"09:50:00",38.44167,-75.90556,1.596,0.227,11.5
"CCM0069",2008-05-12,"11:18:00",38.44167,-75.90556,1.551,0.0987,19.3
"CCM0069",2008-04-14,"11:02:00",38.44167,-75.90556,1.491,0.0856,20.3
"CCM0069",2008-01-14,"10:52:00",38.44167,-75.90556,1.835,0.0742,10
"CCM0069",2008-03-17,"09:35:00",38.44167,-75.90556,1.736,0.0866,12.5
"CCM0069",2008-02-11,"09:55:00",38.44167,-75.90556,1.434,0.0756,12
"CCM0069",2007-12-13,"09:07:00",38.44167,-75.90556,2,0.1221,21
"CCM0069",2007-11-05,"10:26:00",38.44167,-75.90556,1.538,0.0769,9
"CCM0069",2007-09-18,"12:00:00",38.44167,-75.90556,2.18,0.1652,35
"CCM0069",2007-10-15,"10:25:00",38.44167,-75.90556,1.737,0.0848,11.5
"CCM0069",2007-08-20,"10:50:00",38.44167,-75.90556,2.17,0.1703,33.7
"CCM0069",2007-07-12,"08:47:00",38.44167,-75.90556,2.1,0.1233,32.3
"CCM0069",2007-06-19,"15:00:00",38.44167,-75.90556,1.479,0.1075,10.5
"CCM0069",2006-05-11,"09:56:00",38.44167,-75.90556,1.369,0.0717,20.3
"CCM0069",2007-04-17,"10:00:00",38.44167,-75.90556,1.901,0.1692,37
"CCM0069",2007-05-08,"13:15:00",38.44167,-75.90556,2.229,0.1532,25.5
"CCM0069",2007-03-13,"12:25:00",38.44167,-75.90556,2.274,0.094,26
"CCM0069",2007-02-20,"09:49:00",38.44167,-75.90556,3.057,0.1051,32.5
"CCM0069",2007-01-08,"12:05:00",38.44167,-75.90556,1.878,0.111,13
"CCM0069",2006-12-14,"09:11:00",38.44167,-75.90556,2.615,0.1135,15.5
"CCM0069",2006-11-13,"09:07:00",38.44167,-75.90556,2.016,0.1768,30.5
"CCM0069",2006-07-11,"09:52:00",38.44167,-75.90556,1.833,0.192,18.5
"CCM0069",2006-10-19,"10:55:00",38.44167,-75.90556,1.4525,0.11305,9.75
"CCM0069",2006-08-17,"09:33:00",38.44167,-75.90556,1.8845,0.1869,31.75
"CCM0069",2006-09-20,"10:58:00",38.44167,-75.90556,1.4975,0.1519,14.65
"CCM0069",2006-06-22,"10:16:00",38.44167,-75.90556,1.9,0.1532,30
