"MonitoringStation","SampleDate","SampleTime","Parameter","MeasureValue","Unit","Latitude","Longitude"
"CCM0069",2003-06-04,"08:00:00","TSS",15,"MG/L",38.44167,-75.90556
"CCM0069",2003-06-12,"07:30:00","TSS",10,"MG/L",38.44167,-75.90556
"CCM0069",2003-06-18,"11:55:00","TSS",9.3,"MG/L",38.44167,-75.90556
"CCM0069",2003-06-19,"10:00:00","TSS",10,"MG/L",38.44167,-75.90556
"CCM0069",2003-07-09,"10:38:00","TSS",8,"MG/L",38.44167,-75.90556
"CCM0069",2003-07-08,"08:45:00","TSS",11,"MG/L",38.44167,-75.90556
"CCM0069",2003-07-02,"09:00:00","TSS",16.3,"MG/L",38.44167,-75.90556
"CCM0069",2003-06-26,"08:30:00","TSS",15,"MG/L",38.44167,-75.90556
"CCM0069",2003-08-06,"12:20:00","TSS",10.6,"MG/L",38.44167,-75.90556
"CCM0069",2003-07-31,"09:15:00","TSS",13.7,"MG/L",38.44167,-75.90556
"CCM0069",2003-07-24,"09:30:00","TSS",13,"MG/L",38.44167,-75.90556
"CCM0069",2003-07-17,"09:00:00","TSS",17,"MG/L",38.44167,-75.90556
"CCM0069",2003-10-08,"09:30:00","TSS",5,"MG/L",38.44167,-75.90556
"CCM0069",2003-09-16,"12:35:00","TSS",2.7,"MG/L",38.44167,-75.90556
"CCM0069",2003-08-07,"08:30:00","TSS",13.8,"MG/L",38.44167,-75.90556
"CCM0069",2013-09-16,"11:35:00","TN",1.833,"MG/L",38.44167,-75.90556
"CCM0069",2013-08-15,"14:00:00","TN",2.005,"MG/L",38.44167,-75.90556
"CCM0069",2013-02-12,"09:53:00","TN",2.224,"MG/L",38.44167,-75.90556
"CCM0069",2013-07-15,"10:24:00","TN",2.018,"MG/L",38.44167,-75.90556
"CCM0069",2013-01-17,"10:10:00","TN",2.388,"MG/L",38.44167,-75.90556
"CCM0069",2012-12-10,"10:08:00","TN",2.32,"MG/L",38.44167,-75.90556
"CCM0069",2012-11-13,"13:20:00","TN",1.994,"MG/L",38.44167,-75.90556
"CCM0069",2012-10-15,"15:01:00","TN",2.001,"MG/L",38.44167,-75.90556
"CCM0069",2012-09-18,"11:08:00","TN",2.26,"MG/L",38.44167,-75.90556
"CCM0069",2012-06-04,"14:00:00","TN",1.96,"MG/L",38.44167,-75.90556
"CCM0069",2012-05-15,"12:00:00","TN",1.99,"MG/L",38.44167,-75.90556
"CCM0069",2012-04-16,"11:10:00","TN",2.21,"MG/L",38.44167,-75.90556
"CCM0069",2012-03-15,"12:25:00","TN",2.111,"MG/L",38.44167,-75.90556
"CCM0069",2012-02-13,"10:47:00","TN",2.705,"MG/L",38.44167,-75.90556
"CCM0069",2012-01-10,"09:56:00","TN",2.542,"MG/L",38.44167,-75.90556
"CCM0069",2011-12-15,"09:30:00","TN",2.186,"MG/L",38.44167,-75.90556
"CCM0069",2011-10-18,"11:35:00","TN",1.686,"MG/L",38.44167,-75.90556
"CCM0069",2011-11-15,"10:50:00","TN",2.027,"MG/L",38.44167,-75.90556
"CCM0069",2011-09-21,"11:15:00","TN",1.711,"MG/L",38.44167,-75.90556
"CCM0069",2011-08-09,"11:05:00","TN",2.56,"MG/L",38.44167,-75.90556
