MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"ET6.1",113785,"BAY032","TWQM","TRIB","MDDNR","MDDNR","ET6.1",1/8/1986,13:30:00,6,,,0.5,"S ","ISM","M1","DO",,13.60000,"MG/L","F01 ",,,,,,38.54833,-75.70306,"T3"
"ET6.1",113785,"BAY032","TWQM","TRIB","MDDNR","MDDNR","ET6.1",1/8/1986,13:30:00,6,,,1,"M ","ISM","M1","DO",,13.10000,"MG/L","F01 ",,,,,,38.54833,-75.70306,"T3"
"ET6.1",113785,"BAY032","TWQM","TRIB","MDDNR","MDDNR","ET6.1",1/8/1986,13:30:00,6,,,2,"M ","ISM","M1","DO",,12.70000,"MG/L","F01 ",,,,,,38.54833,-75.70306,"T3"
"ET6.1",113785,"BAY032","TWQM","TRIB","MDDNR","MDDNR","ET6.1",1/8/1986,13:30:00,6,,,3,"M ","ISM","M1","DO",,12.50000,"MG/L","F01 ",,,,,,38.54833,-75.70306,"T3"
"ET6.1",113785,"BAY032","TWQM","TRIB","MDDNR","MDDNR","ET6.1",1/8/1986,13:30:00,6,,,4,"M ","ISM","M1","DO",,12.40000,"MG/L","F01 ",,,,,,38.54833,-75.70306,"T3"
"ET6.1",113785,"BAY032","TWQM","TRIB","MDDNR","MDDNR","ET6.1",1/8/1986,13:30:00,6,,,5,"B ","ISM","M1","DO",,12.20000,"MG/L","F01 ",,,,,,38.54833,-75.70306,"T3"
"ET6.1",114302,"BAY034","TWQM","TRIB","MDDNR","MDDNR","ET6.1",3/10/1986,13:40:00,5.5,,,0.5,"S ","ISM","M1","DO",,12.30000,"MG/L","F01 ",,,,,,38.54833,-75.70306,"T3"
"ET6.1",114302,"BAY034","TWQM","TRIB","MDDNR","MDDNR","ET6.1",3/10/1986,13:40:00,5.5,,,1,"M ","ISM","M1","DO",,12.30000,"MG/L","F01 ",,,,,,38.54833,-75.70306,"T3"
"ET6.1",114302,"BAY034","TWQM","TRIB","MDDNR","MDDNR","ET6.1",3/10/1986,13:40:00,5.5,,,2,"M ","ISM","M1","DO",,12.50000,"MG/L","F01 ",,,,,,38.54833,-75.70306,"T3"
"ET6.1",114302,"BAY034","TWQM","TRIB","MDDNR","MDDNR","ET6.1",3/10/1986,13:40:00,5.5,,,3,"M ","ISM","M1","DO",,12.60000,"MG/L","F01 ",,,,,,38.54833,-75.70306,"T3"
