MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
ET6.1,399648,BAY611,TWQM,TRIB,MDDNR,MDDNR,ET6.1,10/17/13,12:15:00,5.7,,,0.5,S ,D,S1,FSS,,3.9,MG/L,D01 ,CBL,,,,,38.54833,-75.70306,T3
ET6.1,399768,BAY612,TWQM,TRIB,MDDNR,MDDNR,ET6.1,11/12/13,13:15:00,5.3,,,0.5,S ,D,S1,FSS,,5,MG/L,D01 ,CBL,,,,,38.54833,-75.70306,T3
ET6.1,397623,BAY614,TWQM,TRIB,MDDNR,MDDNR,ET6.1,12/12/13,12:57:00,5.4,,,0.5,S ,D,S1,FSS,,5,MG/L,D01 ,CBL,,,,,38.54833,-75.70306,T3
ET6.1,397739,BAY616,TWQM,TRIB,MDDNR,MDDNR,ET6.1,1/15/14,9:30:00,4.7,,,0.5,S ,D,S1,FSS,,18,MG/L,D01 ,CBL,,,,,38.54833,-75.70306,T3
ET6.1,397833,BAY621,TWQM,TRIB,MDDNR,MDDNR,ET6.1,3/18/14,10:23:00,5.2,,,0.5,S ,D,S1,FSS,,18.8,MG/L,D01 ,CBL,,,,,38.54833,-75.70306,T3
ET6.1,397940,BAY622,TWQM,TRIB,MDDNR,MDDNR,ET6.1,4/15/14,9:22:00,5.4,,,0.5,S ,D,S1,FSS,,9.2,MG/L,D01 ,CBL,,,,,38.54833,-75.70306,T3
ET6.1,398048,BAY624,TWQM,TRIB,MDDNR,MDDNR,ET6.1,5/14/14,13:21:00,5.3,,,0.5,S ,D,S1,FSS,,15.5,MG/L,D01 ,CBL,,,,,38.54833,-75.70306,T3
ET6.1,398156,BAY626,TWQM,TRIB,MDDNR,MDDNR,ET6.1,6/4/14,13:31:00,5.2,,,0.5,S ,D,S1,FSS,,12,MG/L,D01 ,CBL,,,,,38.54833,-75.70306,T3
ET6.1,398264,BAY628,TWQM,TRIB,MDDNR,MDDNR,ET6.1,7/9/14,12:51:00,5.1,,,0.5,S ,D,S1,FSS,,15.3,MG/L,D01 ,CBL,,,,,38.54833,-75.70306,T3
ET6.1,398373,BAY630,TWQM,TRIB,MDDNR,MDDNR,ET6.1,8/6/14,8:47:00,5.2,,,0.5,S ,D,S1,FSS,,3.5,MG/L,D01 ,CBL,,,,,38.54833,-75.70306,T3
