MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"ET6.2",113778,"BAY032","TWQM","TRIB","MDDNR","MDDNR","ET6.2",1/8/1986,09:48:00,3,,,0.5,"S ","ISM","M1","DO",,14.60000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",113778,"BAY032","TWQM","TRIB","MDDNR","MDDNR","ET6.2",1/8/1986,09:48:00,3,,,1,"M ","ISM","M1","DO",,13.50000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",113778,"BAY032","TWQM","TRIB","MDDNR","MDDNR","ET6.2",1/8/1986,09:48:00,3,,,2,"M ","ISM","M1","DO",,13.30000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",113778,"BAY032","TWQM","TRIB","MDDNR","MDDNR","ET6.2",1/8/1986,09:48:00,3,,,3,"M ","ISM","M1","DO",,13.20000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",114169,"BAY033","TWQM","TRIB","MDDNR","MDDNR","ET6.2",2/25/1986,10:25:00,3,,,0.5,"S ","ISM","M1","DO",,11.50000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",114169,"BAY033","TWQM","TRIB","MDDNR","MDDNR","ET6.2",2/25/1986,10:25:00,3,,,1,"M ","ISM","M1","DO",,11.60000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",114169,"BAY033","TWQM","TRIB","MDDNR","MDDNR","ET6.2",2/25/1986,10:25:00,3,,,2,"M ","ISM","M1","DO",,11.50000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",114169,"BAY033","TWQM","TRIB","MDDNR","MDDNR","ET6.2",2/25/1986,10:25:00,3,,,3,"M ","ISM","M1","DO",,11.60000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",114169,"BAY033","TWQM","TRIB","MDDNR","MDDNR","ET6.2",2/25/1986,10:25:00,3,,,6,"M ","ISM","M1","DO",,11.60000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",114169,"BAY033","TWQM","TRIB","MDDNR","MDDNR","ET6.2",2/25/1986,10:25:00,3,,,12,"B ","ISM","M1","DO",,11.00000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",82139,"BAY040","TWQM","TRIB","MDDNR","MDDNR","ET6.2",6/10/1986,12:36:00,3.3,,,0.5,"S ","ISM","M1","DO",,6.30000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",114169,"BAY033","TWQM","TRIB","MDDNR","MDDNR","ET6.2",2/25/1986,10:25:00,3,,,9,"M ","ISM","M1","DO",,11.00000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",82139,"BAY040","TWQM","TRIB","MDDNR","MDDNR","ET6.2",6/10/1986,12:36:00,3.3,,,1,"M ","ISM","M1","DO",,6.00000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",82139,"BAY040","TWQM","TRIB","MDDNR","MDDNR","ET6.2",6/10/1986,12:36:00,3.3,,,2.3,"B ","ISM","M1","DO",,5.80000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",114300,"BAY034","TWQM","TRIB","MDDNR","MDDNR","ET6.2",3/10/1986,12:40:00,3.5,,,0.5,"S ","ISM","M1","DO",,13.30000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",82139,"BAY040","TWQM","TRIB","MDDNR","MDDNR","ET6.2",6/10/1986,12:36:00,3.3,,,2,"M ","ISM","M1","DO",,5.70000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",114300,"BAY034","TWQM","TRIB","MDDNR","MDDNR","ET6.2",3/10/1986,12:40:00,3.5,,,1,"M ","ISM","M1","DO",,13.40000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",114300,"BAY034","TWQM","TRIB","MDDNR","MDDNR","ET6.2",3/10/1986,12:40:00,3.5,,,2,"M ","ISM","M1","DO",,13.50000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",114649,"BAY036","TWQM","TRIB","MDDNR","MDDNR","ET6.2",4/7/1986,11:00:00,3.6,,,0.5,"S ","ISM","M1","DO",,8.90000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",114300,"BAY034","TWQM","TRIB","MDDNR","MDDNR","ET6.2",3/10/1986,12:40:00,3.5,,,2.5,"B ","ISM","M1","DO",,13.60000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",114649,"BAY036","TWQM","TRIB","MDDNR","MDDNR","ET6.2",4/7/1986,11:00:00,3.6,,,1,"M ","ISM","M1","DO",,8.70000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
