MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"ET6.2",399649,"BAY611","TWQM","TRIB","MDDNR","MDDNR","ET6.2",10/17/2013,13:55:00,3.9,,,2.9,"B ","ISM","M1","DO",,8.30000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",399649,"BAY611","TWQM","TRIB","MDDNR","MDDNR","ET6.2",10/17/2013,13:55:00,3.9,,,1,"M ","ISM","M1","DO",,8.40000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",399649,"BAY611","TWQM","TRIB","MDDNR","MDDNR","ET6.2",10/17/2013,13:55:00,3.9,,,2,"M ","ISM","M1","DO",,8.30000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",399649,"BAY611","TWQM","TRIB","MDDNR","MDDNR","ET6.2",10/17/2013,13:55:00,3.9,,,0.5,"S ","ISM","M1","DO",,8.70000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401140,"BAY611","SWM","DFLO","MDDNR","MDDNR","ET6.2",10/28/2013,10:30:00,3.4,,,0.5,"BS","ISM","M1","DO",,9.20000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401140,"BAY611","SWM","DFLO","MDDNR","MDDNR","ET6.2",10/28/2013,10:30:00,3.4,,,1,"M ","ISM","M1","DO",,9.20000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401140,"BAY611","SWM","DFLO","MDDNR","MDDNR","ET6.2",10/28/2013,10:30:00,3.4,,,2,"M ","ISM","M1","DO",,9.10000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401140,"BAY611","SWM","DFLO","MDDNR","MDDNR","ET6.2",10/28/2013,10:30:00,3.4,,,3,"M ","ISM","M1","DO",,9.00000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",401140,"BAY611","SWM","DFLO","MDDNR","MDDNR","ET6.2",10/28/2013,10:30:00,3.4,,,3.1,"M ","ISM","M1","DO",,9.00000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",397624,"BAY614","TWQM","TRIB","MDDNR","MDDNR","ET6.2",12/11/2013,11:08:00,3.8,,,2.8,"B ","ISM","M1","DO",,11.30000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",397624,"BAY614","TWQM","TRIB","MDDNR","MDDNR","ET6.2",12/11/2013,11:08:00,3.8,,,1,"M ","ISM","M1","DO",,11.40000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",397624,"BAY614","TWQM","TRIB","MDDNR","MDDNR","ET6.2",12/11/2013,11:08:00,3.8,,,2,"M ","ISM","M1","DO",,11.40000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",397624,"BAY614","TWQM","TRIB","MDDNR","MDDNR","ET6.2",12/11/2013,11:08:00,3.8,,,0.5,"S ","ISM","M1","DO",,11.50000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
"ET6.2",397740,"BAY617","TWQM","TRIB","MDDNR","MDDNR","ET6.2",1/17/2014,11:02:00,4.5,,,3,"B ","ISM","M1","DO",,11.90000,"MG/L","F01 ",,,,,,38.34133,-75.88834,"T3"
