MonitoringStation,EventId,Cruise,Program,Project,Agency,Source,Station,SampleDate,SampleTime,TotalDepth,UpperPycnocline,LowerPycnocline,Depth,Layer,SampleType,SampleReplicateType,Parameter,Qualifier,MeasureValue,Unit,Method,Lab,Problem,PrecisionPC,BiasPC,Details,Latitude,Longitude,TierLevel
"ET7.1",113772,"BAY032","TWQM","TRIB","MDDNR","MDDNR","ET7.1",1/8/1986,08:07:00,4.9,,,1,"M ","ISM","M1","DO",,12.50000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",113772,"BAY032","TWQM","TRIB","MDDNR","MDDNR","ET7.1",1/8/1986,08:07:00,4.9,,,2,"M ","ISM","M1","DO",,12.20000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",113772,"BAY032","TWQM","TRIB","MDDNR","MDDNR","ET7.1",1/8/1986,08:07:00,4.9,,,3,"M ","ISM","M1","DO",,12.10000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",113772,"BAY032","TWQM","TRIB","MDDNR","MDDNR","ET7.1",1/8/1986,08:07:00,4.9,,,0.5,"S ","ISM","M1","DO",,12.70000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",113772,"BAY032","TWQM","TRIB","MDDNR","MDDNR","ET7.1",1/8/1986,08:07:00,4.9,,,3.9,"M ","ISM","M1","DO",,12.00000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114167,"BAY033","TWQM","TRIB","MDDNR","MDDNR","ET7.1",2/25/1986,08:00:00,6.6,,,1,"M ","ISM","M1","DO",,9.90000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114167,"BAY033","TWQM","TRIB","MDDNR","MDDNR","ET7.1",2/25/1986,08:00:00,6.6,,,0.5,"S ","ISM","M1","DO",,9.90000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114167,"BAY033","TWQM","TRIB","MDDNR","MDDNR","ET7.1",2/25/1986,08:00:00,6.6,,,5.6,"M ","ISM","M1","DO",,10.20000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114167,"BAY033","TWQM","TRIB","MDDNR","MDDNR","ET7.1",2/25/1986,08:00:00,6.6,,,2,"M ","ISM","M1","DO",,9.90000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114167,"BAY033","TWQM","TRIB","MDDNR","MDDNR","ET7.1",2/25/1986,08:00:00,6.6,,,3,"M ","ISM","M1","DO",,9.90000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114167,"BAY033","TWQM","TRIB","MDDNR","MDDNR","ET7.1",2/25/1986,08:00:00,6.6,,,4,"M ","ISM","M1","DO",,9.90000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114167,"BAY033","TWQM","TRIB","MDDNR","MDDNR","ET7.1",2/25/1986,08:00:00,6.6,,,5,"B ","ISM","M1","DO",,9.90000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",82145,"BAY040","TWQM","TRIB","MDDNR","MDDNR","ET7.1",6/10/1986,13:45:00,5,,,0.5,"S ","ISM","M1","DO",,5.70000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",82145,"BAY040","TWQM","TRIB","MDDNR","MDDNR","ET7.1",6/10/1986,13:45:00,5,,,3,"M ","ISM","M1","DO",,5.20000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",82145,"BAY040","TWQM","TRIB","MDDNR","MDDNR","ET7.1",6/10/1986,13:45:00,5,,,4,"B ","ISM","M1","DO",,4.80000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",82145,"BAY040","TWQM","TRIB","MDDNR","MDDNR","ET7.1",6/10/1986,13:45:00,5,,,2,"M ","ISM","M1","DO",,5.60000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114304,"BAY034","TWQM","TRIB","MDDNR","MDDNR","ET7.1",3/10/1986,13:47:00,8,,,0.5,"S ","ISM","M1","DO",,12.60000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",82145,"BAY040","TWQM","TRIB","MDDNR","MDDNR","ET7.1",6/10/1986,13:45:00,5,,,1,"M ","ISM","M1","DO",,5.50000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114304,"BAY034","TWQM","TRIB","MDDNR","MDDNR","ET7.1",3/10/1986,13:47:00,8,,,1,"M ","ISM","M1","DO",,12.70000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114304,"BAY034","TWQM","TRIB","MDDNR","MDDNR","ET7.1",3/10/1986,13:47:00,8,,,2,"M ","ISM","M1","DO",,12.70000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114304,"BAY034","TWQM","TRIB","MDDNR","MDDNR","ET7.1",3/10/1986,13:47:00,8,,,3,"M ","ISM","M1","DO",,12.90000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114304,"BAY034","TWQM","TRIB","MDDNR","MDDNR","ET7.1",3/10/1986,13:47:00,8,,,4,"M ","ISM","M1","DO",,12.90000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114304,"BAY034","TWQM","TRIB","MDDNR","MDDNR","ET7.1",3/10/1986,13:47:00,8,,,5,"M ","ISM","M1","DO",,12.70000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114628,"BAY036","TWQM","TRIB","MDDNR","MDDNR","ET7.1",4/7/1986,09:55:00,4.9,,,0.5,"S ","ISM","M1","DO",,7.80000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114628,"BAY036","TWQM","TRIB","MDDNR","MDDNR","ET7.1",4/7/1986,09:55:00,4.9,,,1,"M ","ISM","M1","DO",,7.80000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114628,"BAY036","TWQM","TRIB","MDDNR","MDDNR","ET7.1",4/7/1986,09:55:00,4.9,,,2,"M ","ISM","M1","DO",,7.90000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114628,"BAY036","TWQM","TRIB","MDDNR","MDDNR","ET7.1",4/7/1986,09:55:00,4.9,,,3,"M ","ISM","M1","DO",,7.90000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",114628,"BAY036","TWQM","TRIB","MDDNR","MDDNR","ET7.1",4/7/1986,09:55:00,4.9,,,3.9,"B ","ISM","M1","DO",,8.10000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",115164,"BAY038","TWQM","TRIB","MDDNR","MDDNR","ET7.1",5/13/1986,13:30:00,6.9,,,1,"M ","ISM","M1","DO",,7.20000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",115164,"BAY038","TWQM","TRIB","MDDNR","MDDNR","ET7.1",5/13/1986,13:30:00,6.9,,,2,"M ","ISM","M1","DO",,7.20000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",115164,"BAY038","TWQM","TRIB","MDDNR","MDDNR","ET7.1",5/13/1986,13:30:00,6.9,,,3,"M ","ISM","M1","DO",,6.70000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",115164,"BAY038","TWQM","TRIB","MDDNR","MDDNR","ET7.1",5/13/1986,13:30:00,6.9,,,5,"M ","ISM","M1","DO",,6.80000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",115164,"BAY038","TWQM","TRIB","MDDNR","MDDNR","ET7.1",5/13/1986,13:30:00,6.9,,,0.5,"S ","ISM","M1","DO",,7.30000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",115164,"BAY038","TWQM","TRIB","MDDNR","MDDNR","ET7.1",5/13/1986,13:30:00,6.9,,,5.9,"B ","ISM","M1","DO",,7.10000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",82529,"BAY042","TWQM","TRIB","MDDNR","MDDNR","ET7.1",7/15/1986,12:40:00,7,,,0.5,"S ","ISM","M1","DO",,6.00000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",115164,"BAY038","TWQM","TRIB","MDDNR","MDDNR","ET7.1",5/13/1986,13:30:00,6.9,,,4,"M ","ISM","M1","DO",,6.80000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",82529,"BAY042","TWQM","TRIB","MDDNR","MDDNR","ET7.1",7/15/1986,12:40:00,7,,,1,"M ","ISM","M1","DO",,6.10000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",82529,"BAY042","TWQM","TRIB","MDDNR","MDDNR","ET7.1",7/15/1986,12:40:00,7,,,2,"M ","ISM","M1","DO",,5.90000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",82529,"BAY042","TWQM","TRIB","MDDNR","MDDNR","ET7.1",7/15/1986,12:40:00,7,,,3,"M ","ISM","M1","DO",,5.50000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",82529,"BAY042","TWQM","TRIB","MDDNR","MDDNR","ET7.1",7/15/1986,12:40:00,7,,,4,"M ","ISM","M1","DO",,5.40000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",82529,"BAY042","TWQM","TRIB","MDDNR","MDDNR","ET7.1",7/15/1986,12:40:00,7,,,5,"M ","ISM","M1","DO",,5.30000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",82529,"BAY042","TWQM","TRIB","MDDNR","MDDNR","ET7.1",7/15/1986,12:40:00,7,,,6,"B ","ISM","M1","DO",,4.90000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",83172,"BAY045","TWQM","TRIB","MDDNR","MDDNR","ET7.1",8/26/1986,11:35:00,7.7,,,0.5,"S ","ISM","M1","DO",,7.40000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",83172,"BAY045","TWQM","TRIB","MDDNR","MDDNR","ET7.1",8/26/1986,11:35:00,7.7,,,1,"M ","ISM","M1","DO",,7.30000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",83172,"BAY045","TWQM","TRIB","MDDNR","MDDNR","ET7.1",8/26/1986,11:35:00,7.7,,,2,"M ","ISM","M1","DO",,7.20000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",83172,"BAY045","TWQM","TRIB","MDDNR","MDDNR","ET7.1",8/26/1986,11:35:00,7.7,,,3,"M ","ISM","M1","DO",,7.10000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",83172,"BAY045","TWQM","TRIB","MDDNR","MDDNR","ET7.1",8/26/1986,11:35:00,7.7,,,4,"M ","ISM","M1","DO",,6.60000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",83172,"BAY045","TWQM","TRIB","MDDNR","MDDNR","ET7.1",8/26/1986,11:35:00,7.7,,,5,"M ","ISM","M1","DO",,6.50000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",83172,"BAY045","TWQM","TRIB","MDDNR","MDDNR","ET7.1",8/26/1986,11:35:00,7.7,,,6.7,"B ","ISM","M1","DO",,6.50000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",83351,"BAY046","TWQM","TRIB","MDDNR","MDDNR","ET7.1",9/9/1986,13:50:00,7.6,1.50,1.50,0.5,"S ","ISM","M1","DO",,6.90000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",83172,"BAY045","TWQM","TRIB","MDDNR","MDDNR","ET7.1",8/26/1986,11:35:00,7.7,,,6,"M ","ISM","M1","DO",,6.50000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",83351,"BAY046","TWQM","TRIB","MDDNR","MDDNR","ET7.1",9/9/1986,13:50:00,7.6,1.50,1.50,1,"M ","ISM","M1","DO",,6.10000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",83351,"BAY046","TWQM","TRIB","MDDNR","MDDNR","ET7.1",9/9/1986,13:50:00,7.6,1.50,1.50,3,"M ","ISM","M1","DO",,5.00000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",83351,"BAY046","TWQM","TRIB","MDDNR","MDDNR","ET7.1",9/9/1986,13:50:00,7.6,1.50,1.50,2,"M ","ISM","M1","DO",,5.10000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",83351,"BAY046","TWQM","TRIB","MDDNR","MDDNR","ET7.1",9/9/1986,13:50:00,7.6,1.50,1.50,6.6,"B ","ISM","M1","DO",,5.60000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
"ET7.1",83351,"BAY046","TWQM","TRIB","MDDNR","MDDNR","ET7.1",9/9/1986,13:50:00,7.6,1.50,1.50,6,"M ","ISM","M1","DO",,5.40000,"MG/L","F01 ",,,,,,38.26783,-75.78793,"T3"
